timestamp,recent_captures,queue_spn2_captures,queue_spn2_captures_misc,queue_spn2_outlinks,queue_spn2_outlinks_misc,queue_spn2_api,queue_spn2_api_misc,queue_spn2_api_outlinks,queue_spn2_api_outlinks_misc,queue_spn2_high_fidelity,queue_spn2_vip,queue_spn2_vip_outlinks,queue_spn2_screenshots
"2025-11-09T05:27:02Z",366,0,0,27,0,42433,0,0,0,0,0,0,0
"2025-11-09T05:41:51Z",1420,1,0,20,0,43728,0,25,0,0,0,0,0
"2025-11-09T05:55:12Z",894,0,0,0,0,44263,0,21,0,0,0,0,0
"2025-11-09T06:20:35Z",1248,1,0,2,0,39716,0,0,0,0,0,0,0
"2025-11-09T06:44:44Z",1282,0,0,0,0,34627,0,0,0,0,0,0,0
"2025-11-09T06:55:58Z",1477,0,0,0,0,32986,0,0,0,0,0,0,0
"2025-11-09T07:19:56Z",1416,0,0,31,0,31503,0,38,0,0,0,0,0
"2025-11-09T07:31:58Z",1474,0,0,13,0,29181,0,7,0,0,0,0,0
"2025-11-09T07:43:01Z",458,0,0,0,0,26538,0,3,0,0,0,0,0
"2025-11-09T07:53:38Z",1067,0,0,0,0,23538,0,0,0,0,0,0,0
"2025-11-09T08:19:24Z",1096,1,0,4,0,19725,0,324,0,0,0,0,0
"2025-11-09T08:38:33Z",1144,0,0,83,0,14356,0,0,0,0,0,0,0
